id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
1308,New Palasia,Aspi,"Beverages, Fast Food, Ice Cream",3.8,8744f5f3-bd43-4f8c-98b4-a6648a152a4e
1309,Bhawar Kuan,Thick Shake,"Beverages, Fast Food",3.8,50dc3340-1009-4d2b-83ad-5521415dace1
1310,Malharganj,Sagar Juice Centre,Beverages,3.5,b7e7648b-ded6-4209-a4c6-8924315fdc28
1311,Vijay Nagar,Naturas Foodies Point,"Juices, Beverages, Salad",3.6,a995e308-7129-4d36-afab-a80a8097e899
1312,Old Palasia,Sagar Juice Center,Beverages,3.6,4482f041-769d-4eb1-80b9-3a0edb0040b8
1313,Old Palasia,Anand Shree Fruit Bonanza & Cafe,"Fast Food, Chinese, Ice Cream, Beverages",3.6,7bfd4e3a-67c5-4d35-aeda-426faafc6e2b
1315,Annapurna Road,The London Shakes & Cafe,"Beverages, Fast Food",3.4,28dd4156-5ca0-4920-adc3-27908ae85aef
1316,New Palasia,Anand Shree Fruit Juice Centre,Beverages,3.4,0a01cc97-dab5-47e8-91b8-04d97bea9d40
1320,Vijay Nagar,The London Shakes & Cafe,"Beverages, Fast Food",3.4,17142272-6087-4fe2-a2a9-6fcb52b84d0e
1321,New Palasia,Shree Goyal Juice Center,Beverages,3.6,6a29a88b-35c8-40ee-82a9-62b976e31ecf
1322,Sarafa Bazaar,Navin Coconut Crush,Beverages,3.3,d13afe86-4167-405e-88ec-807be0bc9584
1323,Vijay Nagar,Cool Down,"Fast Food, Beverages",2.8,d5e17b83-b80e-4535-bde3-d2a2d460994f
1324,Sudama Nagar,Gaushtham Lassiwala Cafe,"Beverages, North Indian",3.3,c68b2e0c-3aff-4489-85d7-9c0fea21142c
1326,"56 Dukan, New Palasia",The London Shakes,"Beverages, Fast Food",2.9,a7af67c9-90c3-4725-b93b-656c118aa8da
1329,Chhavani,Raj Sandwich Point,"Fast Food, Beverages",3.3,6d677c79-b6f6-459c-8c57-7f8991f4b46d
1333,New Palasia,Trupti Juice A Chat Chawpati,"Street Food, Beverages",3.2,a193e2af-1586-4abd-92c1-6507392b0fd1
1334,Vijay Nagar,Jay Mahakal Juice,"Juices, Desserts",2.8,0b6868a6-3598-4282-8054-805aa9b3c98e
1335,YN Road,Sai Sandwich and Juice Centre,"Juices, Fast Food, Beverages",3.2,b48afc68-0420-4f8c-a0ec-8210af060a24
1336,Bombay Bazaar,Sagar Juice,Beverages,2.9,1593be73-2b4e-4fbe-a870-64cc66f40b52
1337,Vijay Nagar,Cafe Coffee Shot,"Fast Food, Chinese, Italian, Beverages",3,82cd2b24-d9f1-4c0d-8173-9489c27d4103
1339,Bhawar Kuan,Punjabi Dhaba,North Indian,3.7,31658e42-ef1f-4e18-8cda-b5883319cb09
1340,Bhawar Kuan,Mr. Chicken,"North Indian, Chinese",3.5,f61ecb92-1efd-4caf-8b29-4c6af90b5af7
1341,Rau,Mama Ji Ka Dhaba,North Indian,3.7,e28ab71f-8526-4d22-900e-b5b6bbcfff84
1342,Bhawar Kuan,Kesarlal Restaurant,"North Indian, Chinese, Kebab",3.1,489b97d9-ffde-497d-a4ef-7abdde90f7a1
1343,Bhawar Kuan,Chachaji Makhan Wala Dhabha,"North Indian, Chinese",3.3,7f01b8bf-ab42-43a8-a8f9-90e4d143144e
1345,Vijay Nagar,Nanaksar,North Indian,3.6,3d86b4c9-cdc4-4be6-8623-58389f2603a3
1346,Bhawar Kuan,Kelu Ka Dhaba,North Indian,3.5,e1d04562-87af-4752-85b2-c5d94ed952bf
1347,By Pass Road (North),Devendra Da Dhaba,"North Indian, Mughlai, Chinese",3,d12fc370-fbe0-45f2-bcab-dd500d7c7c96
1348,Bhawar Kuan,Kelu Da Dhaba,North Indian,3.5,67eda83e-5018-4e65-922d-7a93bd52f268
1350,Rajendra Nagar,Shree Hari Om Dhaba Famous,Gujarati,3.4,a51e3a55-819d-45bd-bb7d-9e6068e87d01
1351,Rau,Dhabha Tari Seth Ka,"North Indian, Mughlai",3.2,ef8ecffd-2d0b-4a82-b1f8-b00261ee2ea8
1352,MR 10 Road,Aman Punjabi Dhaba,"North Indian, Chinese",3,0d597211-22f3-41ba-b90b-a60b17031905
1353,Bhawar Kuan,Arora Ji Da Dhaba,North Indian,2.8,a7137fb5-6775-4eee-aafe-c20f99401a7a
1354,Bhawar Kuan,Kaka Ki Mehfil Mitran Da Dhaba,"North Indian, South Indian, Chinese",3.1,84751f2d-89d9-4ded-84af-f438f832b45e
1355,Bhawar Kuan,NPD- New Punjabi Dhaba,North Indian,3.2,00222387-05bd-428e-a90d-a6e69babf915
1356,Bhawar Kuan,Shiv Shakti Dhaba,North Indian,2.9,902f9ae2-a746-4639-a310-28bf7fe6896f
1357,RNT Marg,Bhartiya Bhojnalay,North Indian,3.8,a1daef8d-12ff-4bce-8090-c62d184c0c56
1358,Bhawar Kuan,Maa Anusuiyaa Bhojanalaya,North Indian,4,94d9fb85-cc75-477b-8938-fa5beb5c2224
1359,Sarwate Bus Stand,Shreeleela Bhojnalaya,North Indian,3.3,f6a187e4-4b6f-4547-bc0e-e24cde3cccc0
1360,Sarwate Bus Stand,Shreeleela Bhojnalaya,North Indian,2.9,35f6e67b-cd63-488c-8ba5-634dc86a5a31
1361,Jail Road,Vaibhavi Bhojanalaya,North Indian,3.8,7bc73a2d-49aa-4bd0-a700-8d7b43756727
1362,Gangwal Bus Stand,Shree Ji Restaurant,North Indian,3.4,36adb81c-9774-4267-9772-8c9eb061ff2a
1363,Sarwate Bus Stand,Shree Leela Bhojanalya,North Indian,3.5,6e2b79e1-daf7-4731-8636-311768ea53d7
1364,Sarwate Bus Stand,Jain Shree Puri Bhandar,Street Food,3.6,e826c155-9c52-4db3-855a-074eab53d51a
1365,Sarwate Bus Stand,Jain Shree Bhojnalay,North Indian,3.3,b6ffed09-2e34-41af-8cdb-e58dd67c91be
1366,Vijay Nagar,Karnawat Bhojnalay,North Indian,3.5,f9429bd3-e848-448b-9f48-1ef992a1382c
1367,RNT Marg,Siddhivinayak Bhojnalaya,North Indian,3.4,5dd5c815-30d6-4599-8ea3-9a8d7639c8f1
1368,Bhawar Kuan,Fursat Mess,North Indian,3.1,b73d3e4d-ee7a-4d2f-99cc-814a2643f0a6
1369,HIG-LIG,Mishra JIi Ka Bhojnalaya,North Indian,3.3,669fc79f-23f0-44e8-a5c5-9e871cca5bb1
1370,Bhawar Kuan,Rajasthani Bhojanalaya,Rajasthani,2.9,80967dfb-4aa2-4736-a3a4-f5ebb4e720fe
1371,Airport Road,Shree Krishna Bhojanalaya,North Indian,2.9,58c579f9-06d0-439b-ae3d-0988ed3c92cb
1372,Vijay Nagar,Arti Bhojnalay,North Indian,2.9,44c8789d-a718-4bda-9776-f535fed2ba42
1373,HIG-LIG,Jai Mahakal Bhojnalaya,North Indian,3,2b240471-0f2b-4f9c-bd6a-d6dfab17892d
1374,New Palasia,Shri Kripa Bhojnalaya,North Indian,3,df73286f-2920-4f89-b3f3-7ac3e3cd1000
1376,Vijay Nagar,Tummy Truck,"North Indian, Chinese",3.5,62f80525-35ec-40c7-910e-19823c03aaab
1377,Vijay Nagar,G3 Royal Omelette,Fast Food,4,e2c72b72-8d7c-430b-8ed3-4f2457e4eef8
1378,Khajrana,Tahoora Chickens,"North Indian, Mughlai",3.3,08033852-cef0-47f8-9e23-304e6e2a353f
1380,By Pass Road (North),Karnawat Pan Bhojan,Paan,3.2,0f4367a1-29ef-4d27-8769-e9d260335fca
1386,Bhawar Kuan,Santushti Mess,North Indian,3,2232c532-335f-4764-a411-f988dcfceffc
1482,Old Palasia,iFoodLounge,"North Indian, South Indian, Chinese, Fast Food, Street Food",3.9,73899823-fa79-443f-ae9a-dac5bc32ebaf
1579,New Palasia,The Eyry,"Cafe, Mexican, Italian, North Indian",4.1,08fef0bc-fdfb-4920-a4c3-93555573ca7b
1617,Vijay Nagar,Marbella Cafebar,"Continental, Asian, Italian",3.4,46c7bcca-d075-43d2-885f-abb1cd4c1e47
1772,Vijay Nagar,McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",4,aa37dee6-58f5-4758-af97-eccd3ca91be3
1802,Vijay Nagar,American Bawarchi,"Cafe, Healthy Food, North Indian, Fast Food, Beverages, Wraps, Coffee, Pizza",3.7,332cd173-8471-4b4d-a741-1657e0aa9682
1814,Vijay Nagar,McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",3.9,4413cd48-bcde-4ef1-ba77-d1d8cc782643
1892,Annapurna Road,Cafe Buddies,"Fast Food, South Indian, Chinese",3.4,ccc3312e-027b-432d-835e-663eca83e264
1893,Sapna Sangeeta,Dyno Kitchen,"North Indian, Fast Food",3.8,79b0cc00-7cfd-454f-ae64-5a153802e6af
1896,"BCM Heights, Vijay Nagar",Sankalp,South Indian,3.6,a213de0f-7cc9-45e7-9095-d54c765ce53e
1898,By Pass Road (North),JMB,"North Indian, Chinese, Street Food, Mithai",3.7,5daf176c-eec9-4859-b1c6-e935f7df757b
1903,Airport Road,Nema's Food Island,"North Indian, Fast Food",2.9,d6649206-8684-4f2d-a0aa-27ff755625f5
1904,Vijay Nagar,Leaves & Loafs Cafe & Bakery,"North Indian, Chinese, Italian, Healthy Food, Desserts, Bakery",4,46758831-85f5-44d9-88f3-6d063adefecc
1905,Vijay Nagar,Dash Parathas,"Fast Food, North Indian",3.8,61acb59b-65cf-4a65-b9f4-7a685dbf2199
1909,Vijay Nagar,Chilli Grill,"North Indian, Chinese",4,ae7650d9-e95c-4a4e-ab4c-e39cfe0f4bf7
1911,Old Palasia,Icy Spicy,"South Indian, Fast Food",3,e11d1bac-60eb-43ce-96b4-672d4c5e6955
1914,HIG-LIG,Royal Sandwich,"Sandwich, Fast Food",4,4b8288dc-3ca6-4725-9ed4-01fd259e60ac
1915,Vijay Nagar,Anand Shree Fruit Bonanza,"South Indian, Chinese, Continental, Street Food",4,ce178a75-da47-4d1e-aa55-237962bcd5e9
1916,Vijay Nagar,Patang - Hotel Daksh Residency,"North Indian, Mughlai, Chinese, Fast Food",4.1,165969c4-7c2e-416b-82da-5b229f8f1b41
1917,Bhawar Kuan,Panna Restaurant,"North Indian, Chinese, South Indian",3.7,e6cc6efb-9d66-4e10-bab4-4f3e8f375cf5
1918,Chhavani,Central Coffee House,"Fast Food, Coffee",4,739a9a71-61ad-4c2c-b36b-376b8d887a5b
1921,Old Palasia,Cafe Udipi,South Indian,4.1,6f93ae15-ed27-4745-b82a-60bddce19e63
1923,Annapurna Road,Meals Lab,"North Indian, Chinese, Continental",3.9,9688dcad-f1c3-4223-bce6-740a72b1494c
1924,HIG-LIG,Mr. Egg King,"Fast Food, Street Food, North Indian",3.7,ade59b93-4167-4ce5-a7ad-ee2192ef5bc6
1925,Old Palasia,The Samosa State,"Chinese, Street Food",4,08ec061f-21a4-450c-a505-834d6042d1fa
1926,Vijay Nagar,Mr. Tiffins,"North Indian, Fast Food, Sandwich",3.3,3421f7c0-4656-4748-a4b6-f55c654cb64c
2584,Sarafa Bazaar,Sawariya Chaat House,Street Food,4,01512907-0abd-459d-93b8-098adcc718ad
2585,New Palasia,Vrindavan Corn Choupati,"Fast Food, Street Food",3.6,f280c553-bdc9-4dcf-ad9c-57af9ba845c0
2586,"56 Dukan, New Palasia",The Chicken Company,"Fast Food, Street Food",2.9,9ebe9fb4-c8fa-4679-ba72-bd1926c69829
2587,"56 Dukan, New Palasia",Bittu's Dahi Bada,"Beverages, Fast Food, Street Food",3.5,2e584328-cac3-442c-b2cb-656e7e6b851d
2630,Vijay Nagar,Fresh Serve Dine & Cafe,"North Indian, Fast Food, Sandwich, Coffee, Tea",4,d634dafb-061c-439f-81f9-2dd8956c86ae
2631,Airport Road,Desi Tadka,"North Indian, Fast Food",3.5,374f3868-bbe8-4943-a7be-acad9cda1867
2632,By Pass Road (North),Seasoning,"North Indian, Chinese",3.7,85c33dab-0554-4c24-bf59-cb191e65e769
2633,Papaya Tree Hotel,Chulha - Papaya Tree Hotel,"North Indian, Chinese",3.9,290c2626-8376-44da-89e9-468429987533
2634,Old Palasia,The High Garden,"Chinese, Fast Food",3.8,a3102cd4-0f0e-4191-95b0-2b14d3294a65
2635,Vijay Nagar,Food Fantasy,North Indian,3.8,756193a1-45da-410f-a347-3ea67ee93569
2636,Rau,A3 Family Restaurant,North Indian,3.8,2d22e2a4-f842-460d-8455-e63607811a88
2670,New Palasia,Magik 24*7,"North Indian, Fast Food",3.8,71bc0e16-b83a-48ab-88a7-17277739192c
2671,Rau,Dip N Dine,North Indian,3.7,82515de9-dafa-4fbc-b998-0cf3cdb4a64a
2672,Vijay Nagar,Sigda,North Indian,3.6,c4505dc5-f00d-4a31-93f8-bc2b6021f13d
2687,New Palasia,Ice Balls & Slice Square,"Sandwich, Fast Food, Ice Cream",4.1,cb234b41-2f77-4533-9664-5a97dbfb1511
2688,Vijay Nagar,Khana on Choice,"North Indian, Chinese, Italian",3.7,53c83357-f524-4b54-bbb7-06043b18b357
2700,Vijay Nagar,Diners Park,"North Indian, Chinese",3.5,c9bf8e2f-45a0-4002-9efb-918cb465f224
2710,"Hotel Crown Palace, South Tukoganj",Golden Treat,"North Indian, Chinese",3.8,b06d0a5c-021d-40e2-80d7-c6e5fa9e11e1
2727,Vijay Nagar,Sizzling Barbeque by Zafri,"North Indian, BBQ",3.7,ff09a38d-b907-4841-a8da-28e249076d54
2728,Vijay Nagar,Pinto's Kitchen,"North Indian, Chinese, Biryani",3.8,52e44b54-5f0e-4393-a7cc-44e3ef0d4557
2730,Vijay Nagar,Solitaire Restaurant,"North Indian, Chinese",4,b7aa71d0-7cdc-431a-be38-736a31badaf3
2731,Vijay Nagar,Go4Meal by Teashack,"North Indian, Chinese",3.6,78110d6f-a8b1-4f68-a44e-cf2765421a31
2749,South Tukoganj,Lotus Hut,Fast Food,3.9,11668e49-f469-4ce6-aed1-24ee81284455
2750,New Palasia,F.Y.I,"Fast Food, South Indian, Chinese",3.9,b9008d84-a22c-4d7a-a5f1-562005fdfa11
2776,Khajrana,Galliyara Restaurant,"North Indian, Chinese",3.8,a1e0f3e4-053e-4b76-a6cf-9c28a1ecf488
2778,Vijay Nagar,Tadka Laga,"North Indian, Fast Food, Chinese",3.6,0cd205df-dd5f-4554-97c9-8f7fe576da32
2837,By Pass Road (North),Arora's Central Kitchen,"North Indian, Chinese, Fast Food",3.9,1cf637be-635c-458a-9280-30f8127f2c75
2838,RNT Marg,Neelkanth Restaurant,North Indian,3.7,84c51220-54de-46a4-9d71-336de1109e66
