id,restaurant_address,restaurant_name,restaurant_cuisine,restaurant_rating,res_id
998,Old Palasia,Shri Agrawal Sweets,Mithai,3.8,22192f7d-5d62-4f0e-9086-15c985e6af79
999,Old Palasia,Marothiya Pedewala,Mithai,3.8,a7c7ad14-ebf8-4ed8-bba9-f86ec4f505aa
1000,Sapna Sangeeta,New Agrawal Sweets,"Mithai, Street Food",3.8,e6345a4d-0282-48ab-88a6-1674a2d2f6d9
1002,Vijay Nagar,Madhuram Sweets,Mithai,3.5,efa5b371-6fd9-4591-a733-2c1c186f6ffe
1003,MR 10 Road,Shankar Namkeen,"Mithai, Fast Food",3.8,85bc8368-1e32-4c68-bbda-74366d10d689
1005,Sarafa Bazaar,Shree Bhairavnath Misthan Bhandar,Mithai,3.8,c117a81b-8415-4647-9aaf-f705861be931
1006,Annapurna Road,Jain Shree Sweets,Mithai,3.5,b340057b-ea96-4486-a918-4e42b90c35ba
1008,Rajwada,Marothiya Pedewala,Mithai,3.5,959101b0-f2ed-4520-b277-5040a2ffc866
1009,Sudama Nagar,Shri Ram Sweets and Namkeen,Mithai,3.5,4b412d50-cfd3-4e9e-b9e9-6a5554aea258
1010,Jail Road,Naman Namkeen Sweets and Bakery,"Mithai, Street Food",3.6,443e5ad0-8055-43d2-859e-486b91a8fed4
1011,Khajrana,JMB - Jain Mithai Bhandar,"Mithai, Street Food",3.4,0e06b100-830d-4a99-b184-373f54d7a10d
1012,Annapurna Road,Shree Nath,"Mithai, Fast Food",3.4,3392d89c-7946-4ae7-8beb-b8304ddf2466
1013,Navlakha,Maheshwari Sweets,Mithai,3.7,7fe807d8-550c-443a-ba09-6a0108bb304f
1014,New Palasia,Shree Gangour Sweets,"Mithai, Street Food",3.3,d55a86f8-9e9b-4beb-aac4-e1dab9622e83
1015,Vijay Nagar,Shree Sundaram Sweet,"South Indian, Fast Food, Chinese, Mithai",3.4,ba95be67-2017-4d03-9ed0-4c99da2735e4
1018,Old Palasia,New Mahaveer Dairy,Mithai,3.6,16c3be2b-060a-4520-899f-2a5b13a297e2
1019,Airport Road,Marothiya Pedewala,Mithai,3.5,48bcd747-92b4-4459-ad69-8d9052f8aa48
1020,Sapna Sangeeta,Shree Arti Sweets,"Mithai, Fast Food",3.4,5ca67fd7-14df-478f-9cad-5465fb9d3282
1021,Sapna Sangeeta,Shree Meenakshi Sweets,Mithai,3.4,75c55611-b292-4f9c-ac9b-be23f2ae3afd
1022,Ranjeet Hanuman,Marothiya Pedewala,Mithai,3.3,cc7d13e2-57e9-449a-a73d-dee94f415262
1023,Rajwada,Bhagat Singh Chandan Singh Dudh Walo Ki Mithaiya,Mithai,3.5,bfda6d35-e249-456e-ac5b-428aa156e89a
1024,Vijay Nagar,Shree Sweets,"Mithai, Fast Food",3.2,5bde9ed5-14dd-45c3-83ef-234f107e438d
1025,HIG-LIG,Tasty Center,Mithai,3.4,41db1479-0680-4726-a785-01498746d137
1027,Airport Road,Ladu Maharaj,Mithai,3.3,da4f4c36-e798-4ce5-b744-b380eda16a21
1029,Annapurna Road,Surbhi Sweets,Mithai,3.4,917605a2-8fcc-4f8f-a6a3-6d94bd24fe51
1030,Chhavani,Shree Mathurawala Sweets,Mithai,3.2,bcb91f03-95ed-45b8-9828-a83c7ccaaf34
1031,"56 Dukan, New Palasia",Jmb Jain Sweets,"Mithai, Chinese, South Indian, Street Food",3.2,c1b27a94-e557-4818-b8c9-6790e3fc6e7b
1032,Airport Road,Satyam Sweets,Mithai,3.2,c0d123fc-95d3-4ac7-a81b-382543d3f3df
1033,HIG-LIG,Khandelwal Sweets,Mithai,3.3,b5fcdcf2-5961-4049-a170-d07adc8d849a
1034,Vijay Nagar,Shree Balaji Namkeen & Sweets,"Street Food, Mithai",3.2,636f8a74-a022-4be4-a8af-1c48db250aad
1035,"56 Dukan, New Palasia",Agrawal Namkeen Center,"Mithai, Fast Food",3.3,5d36a923-ac20-4a4b-aed5-49f5682acdf0
1036,Ranjeet Hanuman,Shri Agrawal Sweets,Mithai,3.5,432b2133-06fb-432f-964e-6ce6a03852b5
1037,Chhavani,Mamaji Namkeen and Sweets,"Mithai, Street Food",3.1,2c1f16fd-bf1d-4371-bd18-6e3c80d4ac76
1038,Sudama Nagar,Shree Nath Ke Namkeen,"Mithai, Ice Cream",3.1,a3bf9ce2-27e4-41f3-8850-7e3c6a869161
1039,Bombay Bazaar,Gelda Namkeen and Sweets,"Mithai, Street Food",3,abc5bb20-72b4-4ab8-9c42-86b4ab1d7f4e
1040,Airport Road,Mousa Sweets & Namkeens,"Mithai, Street Food",3,ceaad0c3-4f8c-43ed-a6de-0e2a87d5a707
1041,Jail Road,Mauji Hot Food And Sweets,"Mithai, Fast Food",3.1,513a0602-083e-4b8f-8f9d-3f04b02b5769
1042,Manik Bagh Road,Sindh Sweets,"Mithai, Street Food",3,895ae45d-09be-4b51-ae30-259fbce17e7b
1043,Khajrana,Jai Ambe Namkeen Sweets,"Mithai, Fast Food",3.1,aa3e81ed-09c1-42a0-84ac-d7bf03be503e
1044,Sarafa Bazaar,Kesriram Sweets,"Mithai, Fast Food",3.2,91461c3b-eb45-4137-a3c3-924c2f63d19b
1045,Rajwada,Mahaveer Namkeen,"Mithai, Street Food",3.1,4aba08c5-dc6b-4786-bb86-09befe3f8e2c
1046,Khajrana,Sharma Sweets and Namkeen,Mithai,3.2,0300ca45-94ec-4645-8732-fe90637166e7
1047,Khajrana,Quality Sweets,Mithai,3.1,43f15d68-4abe-41d5-8222-4b953a577bc4
1048,Airport Road,Nema Sandwich Point,"Mithai, Fast Food",3,d62b2a99-073e-440a-bcf9-782c6aef4cc1
1049,HIG-LIG,Sri Agarwal Sweets And Namkeen,"Mithai, Fast Food",3,aed590cc-efe0-4f47-8fca-356c4192e316
1050,Khajrana,Padmawati Parshawa Namkeen,"Mithai, Street Food",3.1,0e424a1f-3818-4ae3-a343-89f85d35d016
1052,Old Palasia,Agrawal Ji Ke Namkeen,Mithai,3,562a82cf-a62d-433f-8d24-2f881a269137
1053,Rau,Jai Shree Kalki Sweets and Restaurant,"Mithai, Street Food",3,beb26d7a-2095-4bc8-8423-d59af8a64a14
1054,HIG-LIG,Shri Agrawal Sweets & Namkeen,Mithai,2.9,81920031-28c3-40cc-8b37-a611620f7ff2
1055,Old Palasia,Taste of Malwa,"Mithai, Street Food",3,1d1884d1-8555-41ba-a0d8-4c28a27271c5
1058,"Treasure Island Mall, South Tukoganj",Indore Pub Exchange,"Finger Food, North Indian, Italian, Continental",3.8,4aed46c4-efb5-4732-a4f6-7db92d03ee5f
1072,Vijay Nagar,Lighthouse,"North Indian, Chinese",3.5,77546a5e-f2ec-4bc2-a76f-9fe498adbe8e
1083,Fairfield By Marriott,Kava Lounge - Fairfield by Marriott,Finger Food,3.2,501de39f-410f-4404-a005-a7c45cb4ed48
1099,Sapna Sangeeta,Masala Medley Cafe,"Cafe, North Indian",3.7,36faf327-935d-47f0-8c63-9abe7c9a864e
1105,"Hotel Crown Palace, South Tukoganj",Cafe Bake Well,"Cafe, Chinese",3.9,896aeb5d-bf5c-49d3-bc4e-e4b4cfa5d3f4
1106,Rau,Mugs & Beans,"North Indian, Italian, Fast Food",3.9,84310b02-f45d-448b-bac1-989620058bd4
1109,Sapna Sangeeta,Down Town Cafe,"Cafe, Fast Food, North Indian",3.9,10688f2b-687a-4882-a069-3c933901d4b2
1113,Papaya Tree Hotel,Effe Cafe,Cafe,4,8242670f-a6a7-46b1-b8cd-691bf1639720
1114,Old Palasia,The Nest,"Cafe, Fast Food",4,198277e2-ec15-474d-8793-cdaa998b7e10
1115,Bhawar Kuan,Checkmate Cafe,"Cafe, Fast Food",3.7,5949044d-e23d-403c-b4ed-d73529b16c6e
1116,Vijay Nagar,Sassy House - All Day Cafe,"Cafe, Fast Food, North Indian",3.8,89cb71ff-c0b8-4b49-af6a-9f86241b54ee
1117,Vijay Nagar,The Story Cafe,"Cafe, Fast Food",3.4,ee250a3d-0b00-4a64-8b38-32c7dbbbcc3a
1118,New Palasia,The Chai Bar,"Cafe, Fast Food",3.9,b174e93b-bdfe-4676-beec-ed373a87f4ae
1121,New Palasia,La Pink Cafe,"Cafe, North Indian, Fast Food, South Indian",3.3,60d2c24a-a0be-426f-87c4-5f3c1550b380
1122,"Hotel Best Western Plus O2, South Tukoganj",O2 Cafe 24*7,"Cafe, Fast Food",3.9,6a1644d9-7fed-446f-b1ee-d17ec8592851
1123,Vijay Nagar,The Urban Gumti,"Cafe, Fast Food",3.5,0f8c43be-3d67-4d1a-8a01-f745760d362a
1124,South Tukoganj,Buddy's,"Cafe, Fast Food",2.9,73858cbf-2179-4d47-8bab-7607cae96925
1125,South Tukoganj,Manas Klassika - The Cafe,"Cafe, Fast Food, Coffee, Beverages",3.8,fe538f41-fe93-4176-ad89-d1a35a7368f5
1126,Vijay Nagar,Cafe Chokolade,"Cafe, Fast Food, Beverages, Ice Cream",3.7,1adfbdc7-aa51-4f80-9ce4-4eab37ba9c57
1127,Vijay Nagar,Biggies Burger 'n' More,"Cafe, Fast Food, Burger",4.1,46995c9c-cb99-4c25-8020-86b320ee624f
1128,Vijay Nagar,Westeros,Cafe,3.8,3fb283af-3223-4816-9961-e63a0270b3a7
1129,Vijay Nagar,Cafe XOXO,"Cafe, Chinese",3.5,046fc105-116a-49bc-b728-849b9dadf898
1131,Sudama Nagar,Beyond Temptation,"Cafe, Beverages",3.6,61e303a7-be21-480d-b9a2-ec6cdbde0643
1132,Sapna Sangeeta,Koffee King,"Cafe, Ice Cream",3.8,fd9430c0-7b06-4863-9045-e182c8f0bafa
1133,Bhawar Kuan,Trap House Cafe,"Fast Food, North Indian",3.5,28c38643-435c-4f49-bf06-01920096823f
1134,By Pass Road (North),Coco Nibs The Gourmet Cafe,Cafe,4.1,06a31d9c-afa2-46ab-9347-8b82272ff796
1135,New Palasia,Chai Kaapi,"Cafe, Chinese, Biryani, North Indian",3.8,0002dd3a-1110-43be-b576-8abb0f12dddd
1136,Bhawar Kuan,Voyage Cafeteria,"Cafe, Fast Food, North Indian",3.6,fd8c1093-0d3b-4025-b164-1e03ea2c2d20
1137,Navlakha,The Obroma Cafe,"Cafe, Chinese, Fast Food",3.7,f1e920f4-a60e-4252-951f-9f73c5fec5b7
1138,Vijay Nagar,Ovenly by Khurana's,"Cafe, Fast Food",4.1,12b6f453-7eaf-42d8-a59f-6c7056e5df68
1139,"56 Dukan, New Palasia",Koffee King,"Cafe, Ice Cream",3.8,c9e7d743-af5a-4f01-a58e-32ccaed65acb
1140,Geeta Bhavan,Cafe@BLU,"Cafe, Italian, Mexican",3.9,dc2fa629-7c40-4525-a498-a60d942b50cf
1141,New Palasia,Cafe Coffee Day,"Beverages, Cafe, Sandwich, Fast Food",3.5,f55f87cd-d0a9-426d-af74-66a7f3203457
1142,Airport Road,Jail The Cafe,"Cafe, Fast Food",3.2,52f6b7b5-a0b6-4b58-95b3-b958fd2212ba
1143,Rajendra Nagar,Cafe Unplugged,"Cafe, Chinese",3.8,d1350b8f-f235-4a45-997f-617daf468ac3
1145,Vijay Nagar,Nirvana - The Cafe,Cafe,4,593001cc-60c8-49bc-80d5-a98e1de4ad4b
1146,Sudama Nagar,The Ranjeet Cafe,Cafe,3.6,9266e8f5-88e2-4083-ab2e-c0a35cc702cc
1147,Rajendra Nagar,The Barrel Street Cafe,"Cafe, Fast Food",3.6,cb3a30e4-e9d7-49e7-9249-09d9c480e9ef
1148,Vijay Nagar,Atrangi cafe,Cafe,3.6,5241b27f-9064-42a0-b485-c2fd503704bb
1150,Vijay Nagar,Haveli The Bungalow Cafe,"Cafe, Chinese, Italian, Fast Food",3,3adb8554-e120-41fe-abd1-36f94a95d0f9
1151,Khajrana,Mogambo Di Gravity,"Cafe, Fast Food, Italian, South Indian, Beverages",3.7,5275c78e-67b0-45a6-be53-2eba254248f7
1152,Rajendra Nagar,The Vintage Book Cafe,Cafe,3.5,df355057-ed48-4fbf-bf14-9db3488d2b3c
1153,Rajendra Nagar,LaCasa Resto Cafe,"Cafe, Italian, North Indian, Chinese",3.8,8d2bed9b-63de-411f-950c-f221ce3437a9
1154,Vijay Nagar,Frespresso,Cafe,3.3,c0f7653b-0212-443e-bd09-c8cc8c1b52f8
1155,Navlakha,Cafe Coffee Day,"Beverages, Cafe, Sandwich, Fast Food",3.7,f479d02c-75d5-4784-a501-efd82327b611
1157,"BCM Heights, Vijay Nagar",Cafe Coffee Day,"Beverages, Cafe, Sandwich, Fast Food",3.8,68702615-4bbc-4c9e-9732-78ace4c1e6c9
1158,Khajrana,Grab & Run Cafe,"Cafe, Fast Food",3.6,139752de-82a3-42ef-a4a7-5e8e55073440
1159,Bhawar Kuan,Chai Sutta Bar,Cafe,3.7,3d168812-d31d-4150-b98c-70b1c8160b3c
1160,Vijay Nagar,Any Time Cafe,"Cafe, Fast Food, Beverages",3.2,bb2166cf-c5a5-4df8-b941-867b9c16af81
1162,Vijay Nagar,Chai Sutta Bar,Cafe,4,468ad913-7609-42bd-80f2-750cfd4363ed
1163,South Tukoganj,COD - Come On Dear,Cafe,3.9,08393a86-e23b-40f7-8361-3521391d2605
1164,Ranjeet Hanuman,Cafe Coffee Day,"Beverages, Cafe, Sandwich, Fast Food",3.7,5fba3cec-9be3-4800-8dbe-bff565edad2c
1166,Bhawar Kuan,Jail Chai Bar,Cafe,3.5,7b69bf96-666d-420b-9d94-98903be50cb6
1168,Vijay Nagar,Bhadaas Cafe,"Cafe, Street Food, Chinese",3.7,7bfb8401-154b-4a0d-a23b-b198423e1d76
1169,Khajrana,"96,97 Horror Street Cafe","Cafe, Fast Food",3.5,71e63f20-a6db-404d-bfe9-9dc9ba667903
1170,Vijay Nagar,Koffee King,Cafe,3.5,bdde7ff6-fb3e-44d5-9372-bcf2bee6f76c
1172,Bhawar Kuan,La Pink Cafe,"Cafe, North Indian, Fast Food, South Indian",3.2,4a3e6381-db08-484d-9f71-0fe32a415d84
1173,New Palasia,Tea Post,"Cafe, Fast Food",3.5,94ec05e9-995e-4617-95f9-d7d08ddef3c5
1175,By Pass Road (North),Jonathan's Kitchen Cafe & Boulangerie,Cafe,3.7,dabeba50-d8d1-4247-a558-50f362732ebc
1176,Rau,Koffee King,Cafe,3.4,9bee6faf-f15e-4b77-b20e-85d15889bc24
1177,Sarafa Bazaar,Deja Vu Cafe,"Cafe, Fast Food",3.6,f78b3942-806d-4b03-b536-36ae8a2f2a0f
1178,Vijay Nagar,The Riffing Cult,"Cafe, Sandwich, Fast Food",3.5,b3882fa6-8f8e-45e0-b027-b47aac85ad18
1179,"56 Dukan, New Palasia",Chai Sutta Bar,Cafe,3.8,8d085624-7fe0-47c5-a378-c9fe1e1bca22
1180,Bhawar Kuan,09 Street Cafe,Cafe,3.7,a55d5065-d677-4154-8a0e-0cc53419887a
1181,Navlakha,Lotus Cafe,Cafe,3.5,e72437b2-43e4-4aba-8601-fd6235b94a6a
1182,Khajrana,Komal 's Cake Shoppee,"Cafe, Desserts, Fast Food",3.5,315c8f20-b8bd-49bc-a6bb-c513fcee536a
1183,Vijay Nagar,Tea Post,"Cafe, Fast Food",3.4,aea7ecb0-2557-4f9c-a7c0-ed0378d7162b
1184,"Treasure Island Mall, South Tukoganj",Domino's Pizza,"Pizza, Fast Food",3.6,3090c9da-198c-4735-829b-3a851e57152a
1185,"Treasure Island Mall, South Tukoganj",Yo China,"Chinese, Seafood, Thai",3.8,ab85238e-92f0-45a8-ad11-d9c59d50a5c2
1186,"Malhar Mega Mall, Vijay Nagar",Domino's Pizza,"Pizza, Fast Food",3.5,f2e4ea54-ad75-42e5-bf2a-c99cf1c107d4
1187,"Treasure Island Mall, South Tukoganj",Kailash Parbat,"North Indian, Street Food",3.5,e25fe0c0-60a6-4675-b0ce-8d8921d66591
1188,Vijay Nagar,Dakaar,"Rolls, Street Food, Fast Food, Beverages, Momos",3.9,c8867693-8be2-4816-b306-ed80aa94ca92
1189,RNT Marg,McDonald's,"Burger, Fast Food, Beverages, Cafe, Desserts",3.4,dcd1defe-c3b3-47a2-ae1a-8094448d2774
1190,"Treasure Island Mall, South Tukoganj",Chaap Junction by Wah Ji Wah,North Indian,3.6,7bcbc9bb-5827-4fd9-83d2-c186a923ddad
1192,RNT Marg,Shahi Durbaar,"Fast Food, Beverages",3.5,5f6f4b0d-0357-42a9-95d0-618743bf6a53
1193,"Malhar Mega Mall, Vijay Nagar",Chinese Bite,"Chinese, Fast Food",3.5,83b3db70-0abc-4462-9745-bda8f6740959
1195,"Malhar Mega Mall, Vijay Nagar",Amigo's,"Fast Food, Continental, Beverages",3.2,d86588c1-407a-4e7d-b6a4-996d460f4881
1197,RNT Marg,Cafe Bollywood,"Fast Food, Chinese, South Indian",2.8,3e393883-d610-4673-9e14-f84754f91630
1198,Gangwal Bus Stand,Sarika's Rasoi,Street Food,3.1,cebf5957-9637-4ed7-ba94-32600e71394e
1199,Vijay Nagar,Spicyka,"North Indian, Chinese, Fast Food, South Indian",3,ead9b46e-ad9a-48a7-bea6-aafcb22cb602
1200,Sarafa Bazaar,Ajanta Sandwich,"Sandwich, Fast Food",3.7,bb9c1ca4-134e-427a-beb5-77faa0969792
1203,Sarafa Bazaar,Prakash Kulfi And Faluda,"Desserts, Ice Cream",3.7,546b1802-6413-4028-bbd3-06bf807a359d
1205,Sarafa Bazaar,Momos & Rolls,Momos,2.9,f4b2322f-338c-43d6-bde5-0d88c9449386
